plate_id,plate_num,emulsion,filter,date_orig,observatory
64713,ES13419a  ,Kodak IIIa-J (hyp.-sens.),GG7(=475),1998-03-24,European Southern Observatory
64714,ES13423a  ,Kodak IIIa-J (hyp.-sens.),GG7(=475),1998-03-24,European Southern Observatory
64719,ES13436a  ,Kodak IIIa-J (hyp.-sens.),GG7(=475),1998-03-29,European Southern Observatory
64723,ES13474a  ,Kodak IIIa-J (hyp.-sens.),GG7(=475),1998-05-02,European Southern Observatory
64724,ES13475a  ,Kodak IIIa-J (hyp.-sens.),GG7(=475),1998-05-03,European Southern Observatory
64725,ES13477a  ,Kodak IIIa-J (hyp.-sens.),GG7(=475),1998-05-19,European Southern Observatory
64726,ES13480a  ,Kodak IIIa-J (hyp.-sens.),GG7(=475),1998-05-28,European Southern Observatory
74945,ESF1523c  ,Kodak IIa-O (hyp.-sens.),GG13(=385),1974-01-24,European Southern Observatory
74946,ESF1523C  ,Kodak IIa-O (hyp.-sens.),GG13(=385),1974-01-24,European Southern Observatory
75234,ESP0374   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-13,European Southern Observatory
75235,ESP0392   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-14,European Southern Observatory
75236,ESP0395   ,Kodak 127-04 (hyp.sens.),RG2(=630),1977-02-14,European Southern Observatory
75237,ESP0424   ,Kodak IIIa-J (hyp.-sens.),GG13(=385),1977-02-15,European Southern Observatory
75238,ESP0425   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-15,European Southern Observatory
75239,ESP0426   ,Kodak 127-04 (hyp.sens.),RG2(=630),1977-02-15,European Southern Observatory
75240,ESP0427   ,Kodak 127-04 (hyp.sens.),UG1,1977-02-15,European Southern Observatory
75241,ESP0429   ,Kodak 127-04 (hyp.sens.),RG2(=630),1977-02-15,European Southern Observatory
75242,ESP0430   ,Kodak 127-04 (hyp.sens.),UG1,1977-02-15,European Southern Observatory
75243,ESP0448   ,Kodak IIIa-J (hyp.-sens.),GG13(=385),1977-02-16,European Southern Observatory
75244,ESP0449   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-16,European Southern Observatory
75245,ESP0450   ,Kodak 127-04 (hyp.sens.),RG2(=630),1977-02-16,European Southern Observatory
75246,ESP0452   ,Kodak IIIa-J (hyp.-sens.),GG13(=385),1977-02-16,European Southern Observatory
75247,ESP0453   ,Kodak IIIa-J (hyp.-sens.),GG13(=385),1977-02-16,European Southern Observatory
75248,ESP0454   ,Kodak 127-04 (hyp.sens.),RG2(=630),1977-02-16,European Southern Observatory
75249,ESP0455   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-16,European Southern Observatory
75250,ESP0456   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-16,European Southern Observatory
75251,ESP0457   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-16,European Southern Observatory
75252,ESP0458   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-16,European Southern Observatory
75253,ESP0462   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-16,European Southern Observatory
75254,ESP0463   ,Kodak IIIa-J (hyp.-sens.),GG13(=385),1977-02-16,European Southern Observatory
75255,ESP0464   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-17,European Southern Observatory
75256,ESP0465   ,Kodak 127-04 (hyp.sens.),RG2(=630),1977-02-17,European Southern Observatory
75257,ESP0466   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-17,European Southern Observatory
75258,ESP0467   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-17,European Southern Observatory
75259,ESP0468   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-17,European Southern Observatory
75260,ESP0469   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-17,European Southern Observatory
75261,ESP0470   ,Kodak 127-04 (hyp.sens.),RG2(=630),1977-02-17,European Southern Observatory
75262,ESP0471   ,Kodak IIIa-J,GG14(=495),1977-02-17,European Southern Observatory
75263,ESP0475   ,Kodak IIIa-J (hyp.-sens.),RG2(=630),1977-02-17,European Southern Observatory
75264,ESP0478   ,Kodak IIIa-J (hyp.-sens.),RG2(=630),1977-02-17,European Southern Observatory
75265,ESP0481   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-02-17,European Southern Observatory
75280,ESP0874   ,Kodak 098-02 (hyp.-sens.),H-alpha,1977-03-02,European Southern Observatory
75281,ESP0486   ,Kodak 127-04 (hyp.sens.),RG2(=630),1977-03-09,European Southern Observatory
75282,ESP0487   ,Kodak 127-04 (hyp.sens.),RG2(=630),1977-03-09,European Southern Observatory
75283,ESP0488   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-03-09,European Southern Observatory
75284,ESP0489   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-03-09,European Southern Observatory
75285,ESP0490   ,Kodak IIIa-J (hyp.-sens.),GG14(=495),1977-03-09,European Southern Observatory
75286,ESP0491   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-03-09,European Southern Observatory
75287,ESP0493   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-03-09,European Southern Observatory
75288,ESPIT64   ,Kodak IIIa-F (hyp.-sens.),RG2(=630),1977-03-09,European Southern Observatory
75289,ESP0521   ,Kodak IIIa-J (hyp.-sens.),UG1,1977-03-11,European Southern Observatory
